"SNP","PMID","Title","Date","Pvalue","ORvalue","Ethnicity","Patient group Size","Control group Size","Frequency","Text Evidence"
"rs493258"," 30399423  ","SIRT1 rs12778366, FGFR2 rs2981582, STAT3 rs744166, LIPC rs10468017, rs493258 and LPL rs12678919 genotypes and haplotype evaluation in patients with age-related macular degeneration.","2018-11-03"," 0.004","   0.446"," "," 652"," 829"," 9","+"
"rs493258"," 30399423  ","SIRT1 rs12778366, FGFR2 rs2981582, STAT3 rs744166, LIPC rs10468017, rs493258 and LPL rs12678919 genotypes and haplotype evaluation in patients with age-related macular degeneration.","2018-11-03"," 0.002","   0.455"," "," 652"," 829"," 9","+"
"rs493258"," 30399423  ","SIRT1 rs12778366, FGFR2 rs2981582, STAT3 rs744166, LIPC rs10468017, rs493258 and LPL rs12678919 genotypes and haplotype evaluation in patients with age-related macular degeneration.","2018-11-03"," 0.05"," "," "," 652"," 829"," 9","+"
"rs10468017"," 30399423  ","SIRT1 rs12778366, FGFR2 rs2981582, STAT3 rs744166, LIPC rs10468017, rs493258 and LPL rs12678919 genotypes and haplotype evaluation in patients with age-related macular degeneration.","2018-11-03"," 0.034"," "," "," 652"," 829"," 10","+"
"rs493258"," 30399423  ","SIRT1 rs12778366, FGFR2 rs2981582, STAT3 rs744166, LIPC rs10468017, rs493258 and LPL rs12678919 genotypes and haplotype evaluation in patients with age-related macular degeneration.","2018-11-03"," 0.034"," "," "," 652"," 829"," 9","+"
"rs2230199"," 30352574  ","Association between genetic variation of complement C3 and the susceptibility to advanced age-related macular degeneration: a meta-analysis.","2018-10-23"," 0.001"," 1.49"," Caucasian Caucasians"," 20673"," 20025"," 18","+"
"rs1047286"," 30352574  ","Association between genetic variation of complement C3 and the susceptibility to advanced age-related macular degeneration: a meta-analysis.","2018-10-23"," 0.001"," 1.45"," Caucasian Caucasians"," 20673"," 20025"," 4","+"
"rs2230199"," 30352574  ","Association between genetic variation of complement C3 and the susceptibility to advanced age-related macular degeneration: a meta-analysis.","2018-10-23"," 0.001"," 1.48"," Caucasian Caucasians"," 20673"," 20025"," 18","+"
"rs1047286"," 30352574  ","Association between genetic variation of complement C3 and the susceptibility to advanced age-related macular degeneration: a meta-analysis.","2018-10-23"," 0.001"," 1.45"," Caucasian Caucasians"," 20673"," 20025"," 4","+"
"rs2230199"," 30352574  ","Association between genetic variation of complement C3 and the susceptibility to advanced age-related macular degeneration: a meta-analysis.","2018-10-23"," 0.001"," 1.62"," Caucasian Caucasians"," 20673"," 20025"," 18","+"
